,Unnamed: 0,Tweet Text,Tweet Datetime,Tweet Id,Twitter Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool,Twitter @ Name
28,28,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 22:49:29+00:00,1508939429188055042,ShellWatTheHell,,,66,0,en,Twitter for iPhone,,,False,
29,29,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 22:40:55+00:00,1508937275970777092,BellaSwannBooks,,,66,0,en,Twitter for iPad,,,False,
30,30,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 22:20:42+00:00,1508932185520107521,Seriouslytwist3,,,66,0,en,Twitter Web App,,,False,
31,31,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 21:49:29+00:00,1508924329089806344,sdja3,,,40,0,en,Twitter for iPhone,,,False,
32,32,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 21:36:46+00:00,1508921129758752768,SciBeh,,,40,0,en,Twitter Web App,,,False,
33,33,"RT @JimmyJoeYam: Give press secretary #JenPsaki some credit.

She got fake #COVID19 twice to avoid going on a foreign trip with #Biden.

Sh…",2022-03-29 21:31:24+00:00,1508919777993105417,Musclecar42100A,,,2,0,en,Twitter for iPhone,,,True,
34,34,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 21:26:54+00:00,1508918649154949125,FriendsOfSciMed,,,40,0,en,Twitter Web App,,,False,
35,35,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 21:25:38+00:00,1508918329880334338,JimHandman,,,40,0,en,Twitter Web App,,,False,
36,36,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 20:20:12+00:00,1508901861323067411,OrvilleLloyd,,,66,0,en,Twitter for Android,,,False,
37,37,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:41:19+00:00,1508892078062800897,Indefatigabl_,,,66,0,en,Twitter for Android,,,False,
38,38,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 19:36:48+00:00,1508890941431726089,thankgodthatso2,,,40,0,en,Twitter Web App,,,False,
39,39,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:34:33+00:00,1508890372444884992,Simon67Jenkins,,,66,0,en,Twitter for iPhone,,,False,
40,40,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:32:49+00:00,1508889936967049216,VanStreetDog,,,66,0,en,Twitter for iPhone,,,False,
41,41,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:32:04+00:00,1508889747988525056,canadianglen,,,66,0,en,Twitter Web App,,,False,
42,42,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:24:22+00:00,1508887812346687498,AnnSmit45836518,,,66,0,en,Twitter Web App,,,False,
43,43,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 19:03:23+00:00,1508882527959715843,IR_AMauntie,,,40,0,en,Twitter for iPhone,,,False,
44,44,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 18:29:51+00:00,1508874091817807873,ginabap,,,66,0,en,Twitter Web App,,,False,
45,45,"RT @TechARP: Did #FooFighters drummer, @TaylorHawkins, die from #COVID19 #vaccine-induced #myocarditis?!

Here are the #facts : https://t.c…",2022-03-29 18:14:58+00:00,1508870344836321285,CalFactCheck,,,2,0,en,Cal Fact Check,,,False,
46,46,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 18:06:19+00:00,1508868168701423616,leeshutterbug,,,66,0,en,Twitter for Android,,,False,
47,47,"RT @TechARP: Did #FooFighters drummer, @TaylorHawkins, die from #COVID19 #vaccine-induced #myocarditis?!

Here are the #facts : https://t.c…",2022-03-29 17:49:50+00:00,1508864020786597889,dytiaaurinh,,,2,0,en,Twitter for iPhone,,,False,
48,48,"Did #FooFighters drummer, @TaylorHawkins, die from #COVID19 #vaccine-induced #myocarditis?!

Here are the #facts :… https://t.co/djTRYGitfF",2022-03-29 17:49:20+00:00,1508863895804715008,TechARP,,,2,2,en,Twitter Web App,,,False,
49,49,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 17:29:36+00:00,1508858930243555331,Pucci1967,,,66,0,en,Twitter Web App,,,False,
50,50,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 17:24:29+00:00,1508857641010933765,PaulaHe45886028,,,66,0,en,Twitter for iPhone,,,False,
51,51,RT @picardonhealth: How do you stop #Covid19 #disinformation? Not by silencing scientists (like Oxford epidemiologist Carl Heneghan) who as…,2022-03-29 17:00:41+00:00,1508851653457367040,BloodWatchOrg,,,1,0,en,Twitter for iPhone,,,False,
52,52,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 16:54:24+00:00,1508850069491314688,DaleAFord1,,,66,0,en,Twitter Web App,,,False,
53,53,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 16:53:09+00:00,1508849754356465665,nishant1amity,,,9,0,en,Twitter Web App,,,False,
54,54,How do you stop #Covid19 #disinformation? Not by silencing scientists (like Oxford epidemiologist Carl Heneghan) wh… https://t.co/zUtf7zn3Jx,2022-03-29 16:46:48+00:00,1508848159023239175,picardonhealth,,,1,10,en,Twitter Web App,,,False,
55,55,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 16:34:31+00:00,1508845066088960004,HeartSisters,,,66,0,en,Twitter Web App,,,False,
56,56,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 16:29:45+00:00,1508843865410727940,ittyruffle,,,40,0,en,Twitter Web App,,,False,
57,57,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 16:29:05+00:00,1508843701132484609,ClaytonRobins,,,40,0,en,Twitter for Android,,,False,
58,58,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 16:15:43+00:00,1508840334045949968,DennisKoch10,,,40,0,en,Twitter Web App,,,False,
59,59,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 16:15:42+00:00,1508840333110648836,melizabethdares,,,66,0,en,Twitter for iPhone,,,False,
60,60,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 16:01:54+00:00,1508836856900710405,therealcptnsmee,,,66,0,en,Twitter for Android,,,False,
61,61,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 15:57:24+00:00,1508835726334386177,marcanada54,,,66,0,en,Twitter for iPhone,,,False,
62,62,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 15:46:14+00:00,1508832916700160002,keithbaldrey,,,66,0,en,Twitter Web App,,,False,
63,63,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 15:32:38+00:00,1508829493145784326,PRchef_Inc,,,66,0,en,Twitter Web App,,,False,
64,64,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 15:20:31+00:00,1508826442632937473,Mundra08,,,9,0,en,Twitter for Android,,,False,
65,65,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 15:18:25+00:00,1508825913533902848,AnneofKingston,,,66,0,en,Twitter Web App,,,False,
66,66,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 15:10:01+00:00,1508823800795709440,grumpeoldman,,,9,0,en,Twitter for iPhone,,,False,
67,67,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 15:09:42+00:00,1508823722953613319,StilwellMoiraMD,,,66,0,en,Twitter for iPhone,,,False,
68,68,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 15:04:09+00:00,1508822323041734657,BrucePlante1,,,40,0,en,Twitter for iPhone,,,False,
69,69,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 15:01:35+00:00,1508821680000421889,wolfden55,,,40,0,en,Twitter for Android,,,False,
70,70,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:52:43+00:00,1508819446189678596,tryna_do_rite,,,40,0,en,Twitter for Android,,,False,
71,71,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:49:35+00:00,1508818660550451205,NikD76,,,40,0,en,Twitter for Android,,,False,
72,72,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:43:10+00:00,1508817045659471893,iflynn,,,40,0,en,Twitter Web App,,,False,
73,73,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 14:42:20+00:00,1508816835696857105,RPMVJ,,,9,0,en,Twitter for Android,,,False,
74,74,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:36:44+00:00,1508815424531714052,themjdworldwide,,,40,0,en,Twitter for iPhone,,,False,
75,75,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 14:36:21+00:00,1508815329937563648,sqirlgirly,,,66,0,en,Twitter for iPhone,,,False,
76,76,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 14:35:47+00:00,1508815186408669192,FaaraNadeem,,,9,0,en,Twitter for Android,,,False,
77,77,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:35:28+00:00,1508815106234322962,MerlinofCanada,,,40,0,en,Twitter for Android,,,False,
78,78,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 14:32:45+00:00,1508814421950451716,MorrisJ96207411,,,66,0,en,Twitter for Android,,,False,
79,79,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 14:32:11+00:00,1508814279650254849,Truedemocracy1,,,9,0,en,Twitter for Android,,,False,
80,80,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 14:31:33+00:00,1508814121143353346,hindusantani1,,,9,0,en,Twitter for Android,,,False,
81,81,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 14:30:25+00:00,1508813835699957772,Arun_Kaku05,,,9,0,en,Twitter for iPhone,,,False,
82,82,"During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from… https://t.co/14zHyrSP3j",2022-03-29 14:30:13+00:00,1508813783858298899,the_hindu,,,9,40,en,SocialFlow,,,False,
83,83,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:28:53+00:00,1508813450029510666,tompgleason,,,40,0,en,Twitter for iPhone,,,False,
84,84,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:25:20+00:00,1508812558307897362,JasVod1,,,40,0,en,Twitter for iPhone,,,False,
85,85,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:18:31+00:00,1508810841889644556,icedsnowberry,,,40,0,en,Twitter for Android,,,False,
86,86,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:15:40+00:00,1508810124135182349,AlexKadolph,,,40,0,en,Twitter for iPhone,,,False,
87,87,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:15:14+00:00,1508810016303857671,charlesmire,,,40,0,en,Twitter for Android,,,False,
88,88,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:13:30+00:00,1508809579987144711,WilliamJamesLe1,,,40,0,en,Twitter Web App,,,False,
89,89,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:13:13+00:00,1508809508403007491,MattersCalgary,,,40,0,en,Twitter for iPhone,,,False,
90,90,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:07:14+00:00,1508808002480099337,yvonne4tn,,,40,0,en,Twitter for iPad,,,False,
91,91,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:04:51+00:00,1508807402623311890,BugJudy,,,40,0,en,Twitter Web App,,,False,
92,92,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:04:33+00:00,1508807328010809358,SocMedDr,,,40,0,en,Twitter for iPhone,,,False,
93,93,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:03:22+00:00,1508807028944388107,ImogenRCoePhD,,,40,0,en,Twitter for iPhone,,,False,
94,94,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:03:08+00:00,1508806969745940492,srmarcon,,,40,0,en,Twitter Web App,,,False,
95,95,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:02:58+00:00,1508806927375114240,KimTomp11872840,,,40,0,en,Twitter Web App,,,False,
96,96,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:01:44+00:00,1508806618418499585,A1responder,,,40,0,en,Twitter for Android,,,False,
97,97,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:01:32+00:00,1508806567788957702,allucanbe,,,40,0,en,Twitter Web App,,,False,
98,98,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:01:03+00:00,1508806443717251081,DarcyEckert,,,40,0,en,Twitter for Android,,,False,
99,99,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 13:59:05+00:00,1508805952455286795,TBWarrington,,,40,0,en,Twitter Web App,,,False,
0,0,"@svaradarajan @deep_ami @kaushalreports @thewire_in In fact people of UP gave two tight slaps - one, for spreading… https://t.co/MHayVhXOyQ",2022-03-30 14:24:29,1509174730376757254,,,,0,0,en,Twitter Web App,1.5091442643114598e+18,21014078.0,False,India_on_move
1,1,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 13:33:32,1509161910100537354,,,,66,0,en,Twitter for iPhone,,,False,MaritaWoods11
2,2,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-30 13:25:16,1509159826462494720,,,,40,0,en,Twitter for Android,,,False,CLSylvestre1
3,3,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:31:55,1509146402298814467,,,,66,0,en,Twitter for iPad,,,False,BillTieleman
4,4,"Beware of fake COVID-19 vaccines: Here's how to spot one.
#COVID19 
#fakevaccine https://t.co/0q71o7yGGt",2022-03-30 12:21:20,1509143737435242497,,,,0,0,en,Twitter Web App,,,False,PNPAbraBangued
5,5,RT @LieveToet: Dear @TwitterSupport @TwitterSafety please delete @dancalegria as this account is constantly spreading fake news about Covid…,2022-03-30 12:13:12,1509141690958950402,,,,2,0,en,Twitter Web App,,,False,DonnaWaardenbe1
6,6,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:01:49,1509138826454876162,,,,66,0,en,Twitter for Android,,,False,John68Richmond
7,7,"The media that has been told of fake news are actually telling the truth all the time, which is too ironic!
""… https://t.co/btWr8NEV51",2022-03-30 12:01:25,1509138727884697603,,,,0,0,en,Twitter Web App,,,False,BachHermosa
8,8,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:00:33,1509138509197623304,,,,66,0,en,Twitter for Android,,,False,Eddie72J
9,9,"@fcukthesystem2 @tiredoftalkingg @Covid19_Murders @KiranNaz96 @apostateali Sahih Muslim 3480, are you gonna say a Sahih hadith is fake?",2022-03-30 11:20:59,1509128549688561668,,,,0,0,en,Twitter Web App,1.5091274627724247e+18,9.501816549701509e+17,False,BluteqS
10,10,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 10:46:09,1509119784285319169,,,,66,0,en,Twitter for iPad,,,False,airbagmoments
11,11,"RT @JuanGrvas: La ciencia avanza con la discrepancia. Covid19.
Whatever @twitter was doing when it banned the Oxford epidemiologist @carlhe…",2022-03-30 10:33:14,1509116532814761989,,,,0,0,en,Twitter for Android,,,False,torderamh
12,12,"RT @JuanGrvas: La ciencia avanza con la discrepancia. Covid19.
Whatever @twitter was doing when it banned the Oxford epidemiologist @carlhe…",2022-03-30 10:33:07,1509116505182687234,,,,3,0,en,Twitter for Android,,,False,torderamh
13,13,"RT @JuanGrvas: La ciencia avanza con la discrepancia. Covid19.
Whatever @twitter was doing when it banned the Oxford epidemiologist @carlhe…",2022-03-30 10:32:53,1509116446328209412,,,,4,0,en,Twitter for Android,,,False,torderamh
14,14,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 10:31:09,1509116011915751426,,,,66,0,en,Twitter for iPhone,,,False,MEEKSVS
